Breed,Image File Name,Image File Path,Image Size (KB),Download Time,Resolution,Image Format,Source URL,Status,Dominant Color
Pug,image_1.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_1.jpg,38.67,3/26/2025 0:30,626x939,JPEG,https://www.pinterest.com/pin/906138387528068406/,Success,#f1ebef
Pug,image_2.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_2.jpg,47.06,3/26/2025 0:31,612x816,JPEG,https://www.pinterest.com/pin/906138387527923224/,Success,#ffffff
Pug,image_3.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_3.jpg,50.98,3/26/2025 0:31,720x900,JPEG,https://www.pinterest.com/pin/906138387527910224/,Success,#847e72
Pug,image_4.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_4.jpg,16.58,3/26/2025 0:31,236x419,JPEG,https://www.pinterest.com/pin/586453182761894925/,Success,#dedede
Pug,image_5.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_5.jpg,53.39,3/26/2025 0:32,720x900,JPEG,https://www.pinterest.com/pin/906138387528195388/,Success,#c7c0b0
Pug,image_6.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_6.jpg,116.02,3/26/2025 0:32,736x981,JPEG,https://www.pinterest.com/pin/791859547024572838/,Success,#5890cd
Pug,image_7.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_7.jpg,62.92,3/26/2025 0:32,675x1200,JPEG,https://www.pinterest.com/pin/906138387528141256/,Success,#b8b9be
Pug,image_8.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_8.jpg,12.48,3/26/2025 0:32,236x295,JPEG,https://www.pinterest.com/pin/4081455904320986/,Success,#2e2926
Pug,image_9.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_9.jpg,53.71,3/26/2025 0:32,720x720,JPEG,https://www.pinterest.com/pin/906138387527854654/,Success,#eeeee4
Pug,image_10.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_10.jpg,99.53,3/26/2025 0:33,720x1077,JPEG,https://www.pinterest.com/pin/906138387528027985/,Success,#b2af9c
Pug,image_11.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_11.jpg,18.33,3/26/2025 0:33,236x295,JPEG,https://www.pinterest.com/pin/21321798229661339/,Success,#c4bfc5
Pug,image_12.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_12.jpg,53,3/26/2025 0:33,720x942,JPEG,https://www.pinterest.com/pin/638596422197310587/,Success,#0a081e
Pug,image_13.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_13.jpg,10.15,3/26/2025 0:34,236x233,JPEG,https://www.pinterest.com/pin/703756187260743/,Success,#bb9d7b
Pug,image_14.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_14.jpg,205.38,3/26/2025 0:34,735x1029,JPEG,https://www.pinterest.com/pin/904942118891259151/,Success,#040203
Pug,image_15.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_15.jpg,65.96,3/26/2025 0:34,718x900,JPEG,https://www.pinterest.com/pin/906138387527979514/,Success,#838d96
Pug,image_16.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_16.jpg,125.82,3/26/2025 0:35,736x981,JPEG,https://www.pinterest.com/pin/840625086738951853/,Success,#595957
Pug,image_17.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_17.jpg,76.8,3/26/2025 0:35,720x960,JPEG,https://www.pinterest.com/pin/906138387527961463/,Success,#07080c
Pug,image_18.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_18.jpg,119.22,3/26/2025 0:36,736x981,JPEG,https://www.pinterest.com/pin/823947694361570761/,Success,#a5cff8
Pug,image_19.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_19.jpg,12.9,3/26/2025 0:36,236x236,JPEG,https://www.pinterest.com/pin/605874956133010329/,Success,#a29e95
Pug,image_20.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_20.jpg,39.23,3/26/2025 0:37,526x526,JPEG,https://www.pinterest.com/pin/906138387528027981/,Success,#ffffff
Pug,image_21.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_21.jpg,65.96,3/26/2025 0:37,720x900,JPEG,https://www.pinterest.com/pin/906138387527979588/,Success,#3a414b
Pug,image_22.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_22.jpg,106.69,3/26/2025 0:37,679x1136,JPEG,https://www.pinterest.com/pin/906138387527993163/,Success,#ffffff
Pug,image_23.jpg,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_23.jpg,17.07,3/26/2025 0:38,236x315,JPEG,https://www.pinterest.com/pin/27936460189823972/,Success,#514843
